sale_date,sale_year,sale_month,sale_quarter,weekday,store,region,category,product_name,quantity,unit_price,total_sales
2024-02-22,2024.0,2.0,1.0,Thursday,Store-D,EAST,ACCESSORIES,Ltp Pro 15,8,1696.39,13571.12
2024-04-09,2024.0,4.0,2.0,Tuesday,Store-C,NORTH,ELECTRONICS,Smartphone X,6,1985.16,11910.96
2024-06-17,2024.0,6.0,2.0,Monday,Store D,SOUTH,ACCESSORIES,Tablet,3,800.66,3249.56
2024-01-09,2024.0,1.0,1.0,Tuesday,Store D,SOUTH,ELECTRONICS,Tablet,2,1364.97,2729.94
2024-03-27,2024.0,3.0,1.0,Wednesday,Store A,EAST,ELECTRONICS,Smart Phone X,9,898.92,141.55
2024-03-30,2024.0,3.0,1.0,Saturday,Store A,SOUTH,ACCESSORIES,Tablet Plus,3,1794.24,5382.72
2024-08-04,2024.0,8.0,3.0,Sunday,Store D,EAST,ELECTRONICS,Smartfone X,7,1438.76,10071.32
2024-11-29,2024.0,11.0,4.0,Friday,Store A,NORTH,ELECTRONICS,Tablet,6,206.27,1237.62
2024-10-15,2024.0,10.0,4.0,Tuesday,Store D,EAST,ACCESSORIES,Laptop Pro - 15,10,1472.82,14728.2
2024-12-13,2024.0,12.0,4.0,Friday,Store B,WEST,ELECTRONICS,Ltp Pro 15,1,1223.8,3136.91
2024-07-16,2024.0,7.0,3.0,Tuesday,Store-A,WEST,ACCESSORIES,Tablet Plus,3,1677.36,5032.08
2024-07-12,2024.0,7.0,3.0,Friday,Store D,NORTH,ACCESSORIES,Tablet,1,1399.13,1399.13
2024-04-29,2024.0,4.0,2.0,Monday,Store D,NORTH,ELECTRONICS,Smart Phone X,10,1622.3,3134.75
2024-08-18,2024.0,8.0,3.0,Sunday,Store-A,EAST,ELECTRONICS,Laptop Pro - 15,4,965.49,3861.96
2024-06-01,2024.0,6.0,2.0,Saturday,Store-C,EAST,ELECTRONICS,Laptop Pro15,4,658.75,2635.0
2024-07-14,2024.0,7.0,3.0,Sunday,Store A,WEST,ACCESSORIES,Smart Phone X,6,456.78,1269.09
2024-04-14,2024.0,4.0,2.0,Sunday,Store-B,EAST,ACCESSORIES,Smartphone X,1,634.26,634.26
2024-05-29,2024.0,5.0,2.0,Wednesday,Store-E,EAST,ELECTRONICS,Tablet,2,758.48,1516.96
2024-11-10,2024.0,11.0,4.0,Sunday,Store-C,WEST,ELECTRONICS,Tablet,6,341.73,2050.38
2024-03-09,2024.0,3.0,1.0,Saturday,Store A,NORTH,ACCESSORIES,Ltp Pro 15,9,637.8,5740.2
2024-02-05,2024.0,2.0,1.0,Monday,Store-B,NORTH,ELECTRONICS,Tablet Plus,10,371.19,3711.9
2024-07-23,2024.0,7.0,3.0,Tuesday,Store B,EAST,ELECTRONICS,Smartfone X,3,515.23,1545.69
2024-02-14,2024.0,2.0,1.0,Wednesday,Store D,EAST,ACCESSORIES,Laptop Pro - 15,1,1780.41,1607.81
2024-01-09,2024.0,1.0,1.0,Tuesday,Store E,WEST,ELECTRONICS,Smartfone X,2,890.3,1780.6
2024-10-06,2024.0,10.0,4.0,Sunday,Store-C,NORTH,ELECTRONICS,Smart Phone X,10,1086.65,703.33
2024-06-22,2024.0,6.0,2.0,Saturday,Store E,EAST,ACCESSORIES,Tablet,2,1302.7,2605.4
2024-03-26,2024.0,3.0,1.0,Tuesday,Store E,NORTH,ACCESSORIES,Laptop Pro 15,6,1708.52,10251.12
2024-06-14,2024.0,6.0,2.0,Friday,Store-D,NORTH,ACCESSORIES,Tablet Plus,3,305.99,917.97
2024-08-07,2024.0,8.0,3.0,Wednesday,Store-B,EAST,ELECTRONICS,Tablet,7,1537.92,10765.44
2024-02-20,2024.0,2.0,1.0,Tuesday,Store D,WEST,ACCESSORIES,Laptop Pro 15,4,1736.65,3887.1
2024-08-09,2024.0,8.0,3.0,Friday,Store-C,SOUTH,ELECTRONICS,Tablet,3,1942.1,328.02
2024-07-16,2024.0,7.0,3.0,Tuesday,Store A,NORTH,ACCESSORIES,Tablet Plus,8,150.2,1201.6
2024-09-15,2024.0,9.0,3.0,Sunday,Store-A,EAST,ACCESSORIES,Smart Phone X,10,1324.34,13243.4
2024-02-22,2024.0,2.0,1.0,Thursday,Store D,EAST,ACCESSORIES,Smart Phone X,4,112.07,448.28
2024-06-15,2024.0,6.0,2.0,Saturday,Store D,SOUTH,ELECTRONICS,Laptop Pro - 15,7,888.36,6218.52
2024-09-23,2024.0,9.0,3.0,Monday,Store-D,NORTH,ELECTRONICS,Tablet Plus,5,1471.41,7357.05
2024-04-23,2024.0,4.0,2.0,Tuesday,Store-C,WEST,ELECTRONICS,Smartfone X,8,313.91,2511.28
2024-02-10,2024.0,2.0,1.0,Saturday,Store-D,NORTH,ACCESSORIES,Tablet,6,877.94,3178.99
2024-08-26,2024.0,8.0,3.0,Monday,Store C,SOUTH,ACCESSORIES,Smart Phone X,1,432.44,432.44
2024-05-26,2024.0,5.0,2.0,Sunday,Store C,WEST,ACCESSORIES,Smart Phone X,10,680.83,6808.3
2024-08-09,2024.0,8.0,3.0,Friday,Store E,EAST,ACCESSORIES,Laptop Pro15,6,201.29,3048.01
2024-03-27,2024.0,3.0,1.0,Wednesday,Store-E,NORTH,ACCESSORIES,Smartfone X,6,1375.4,8252.4
2024-07-26,2024.0,7.0,3.0,Friday,Store A,WEST,ACCESSORIES,Smart Phone X,1,1996.24,1020.88
2024-02-14,2024.0,2.0,1.0,Wednesday,Store-C,NORTH,ACCESSORIES,Smartphone X,2,448.56,897.12
2024-12-09,2024.0,12.0,4.0,Monday,Store B,EAST,ELECTRONICS,Laptop Pro15,7,1730.32,12112.24
