sale_date,store,region,product_name,category,unit_price,quantity,total_sales,notes,last_update,sale_year,sale_month,sale_quarter,weekday
,Store A,,Smartphone X,ELECTRONICS,1536.73,8,12293.84,,09/12/2024 12:00 AM,,,,
2024-11-10,Store E,NORTH,Laptop Pro - 15,ELECTRONICS,1389.27,4,5557.08,,2024-05-02 00:00,2024.0,11.0,4.0,Sunday
,Store A,SOUTH,Smart Phone X,ELECTRONICS,1322.4,10,13224.0,check later,05/20/2024 12:00 AM,,,,
2024-06-26,Store-B,,Ltp Pro 15,,1043.01,2,2086.02,check later,01/07/2024 12:00 AM,2024.0,6.0,2.0,Wednesday
,Store C,NORTH,Laptop Pro15,,671.61,10,6716.1,,2024-06-26 00:00,,,,
,Store-E,WEST,Tablet,ACCESSORIES,840.58,3,2521.7400000000002,,2024-02-04 00:00,,,,
,Store-C,SOUTH,Laptop Pro - 15,ACCESSORIES,698.21,1,698.21,,2024-03-25 00:00,,,,
2024-01-17,Store-B,EAST,Laptop Pro - 15,ELECTRONICS,778.98,6,4673.88,manual override,2024-11-16 00:00,2024.0,1.0,1.0,Wednesday
,Store-C,SOUTH,Tablet,ELECTRONICS,31.35,2,62.7,,04/26/2024 12:00 AM,,,,
,Store-B,NORTH,Laptop Pro15,ACCESSORIES,1622.79,3,4868.37,,2024-09-03 00:00,,,,
,Store-D,EAST,Smartfone X,ELECTRONICS,1333.54,4,5334.16,,2024-03-29 00:00,,,,
,Store-D,SOUTH,Laptop Pro - 15,ACCESSORIES,848.82,3,2546.46,check later,2024-12-10 00:00,,,,
2024-02-13,Store E,SOUTH,Laptop Pro15,ELECTRONICS,875.83,3,2627.4900000000002,promo applied,2024-06-22 00:00,2024.0,2.0,1.0,Tuesday
2024-05-18,Store E,NORTH,Ltp Pro 15,,1638.73,5,8193.65,,2024-12-26 00:00,2024.0,5.0,2.0,Saturday
,Store B,NORTH,Smartphone X,,1143.23,1,1143.23,check later,08/04/2024 12:00 AM,,,,
,Store-A,SOUTH,Laptop Pro 15,ACCESSORIES,1763.69,4,7054.76,check later,2024-11-01 00:00,,,,
,Store D,WEST,Laptop Pro15,ELECTRONICS,230.52,1,230.52,check later,2024-07-19 00:00,,,,
,Store C,NORTH,Smart Phone X,ACCESSORIES,1485.49,7,10398.43,promo applied,02/16/2024 12:00 AM,,,,
,Store C,SOUTH,Smartphone X,ACCESSORIES,1117.81,7,7824.67,,,,,,
,Store-C,EAST,Smart Phone X,ACCESSORIES,834.99,6,5009.9400000000005,promo applied,04/19/2024 12:00 AM,,,,
,Store D,NORTH,Smartfone X,ACCESSORIES,181.99,3,545.97,manual override,2024-05-07 00:00,,,,
,Store D,WEST,Smart Phone X,ELECTRONICS,108.65,9,977.85,,2024-05-03 00:00,,,,
2024-02-10,Store B,EAST,Tablet Plus,ACCESSORIES,1054.02,5,5270.1,,2024-07-25 00:00,2024.0,2.0,1.0,Saturday
,Store A,WEST,Smart Phone X,ACCESSORIES,1092.29,2,2184.58,check later,02/18/2024 12:00 AM,,,,
,Store A,EAST,Tablet,ELECTRONICS,465.89,4,1863.56,,07/02/2024 12:00 AM,,,,
,Store E,EAST,Tablet,ACCESSORIES,257.34,9,2316.06,,2024-07-10 00:00,,,,
,Store B,EAST,Smartphone X,,781.34,10,7813.400000000001,check later,2024-02-19 00:00,,,,
,Store D,EAST,Smartphone X,ACCESSORIES,777.26,7,5440.82,manual override,01/19/2024 12:00 AM,,,,
,Store-A,NORTH,Ltp Pro 15,ACCESSORIES,1865.38,9,16788.420000000002,,2024-04-13 00:00,,,,
2024-02-02,Store C,SOUTH,Laptop Pro15,ELECTRONICS,1862.94,8,14903.52,check later,04/20/2024 12:00 AM,2024.0,2.0,1.0,Friday
2024-09-09,Store B,NORTH,Laptop Pro 15,ELECTRONICS,1373.91,6,8243.460000000001,urgent,10/02/2024 12:00 AM,2024.0,9.0,3.0,Monday
,Store-B,,Tablet Plus,ACCESSORIES,90.35,10,903.5,,03/01/2024 12:00 AM,,,,
,Store E,SOUTH,Laptop Pro15,ELECTRONICS,792.13,5,3960.65,urgent,,,,,
2024-09-21,Store C,EAST,Tablet,,394.34,9,3549.06,,05/22/2024 12:00 AM,2024.0,9.0,3.0,Saturday
,Store A,WEST,Laptop Pro 15,ELECTRONICS,630.32,9,5672.88,check later,2024-03-13 00:00,,,,
,Store-E,WEST,Smartphone X,ACCESSORIES,1755.4,2,3510.8,,2024-09-14 00:00,,,,
2024-05-01,Store-C,EAST,Laptop Pro15,ACCESSORIES,1588.2,6,9529.2,manual override,02/19/2024 12:00 AM,2024.0,5.0,2.0,Wednesday
,Store C,SOUTH,Laptop Pro 15,ELECTRONICS,1618.5,6,9711.0,check later,2024-11-12 00:00,,,,
2024-10-06,Store C,NORTH,Laptop Pro15,ELECTRONICS,481.1,3,1443.3000000000002,,01/10/2024 12:00 AM,2024.0,10.0,4.0,Sunday
