2026-01-10 17:58:09,753 | INFO | profile | ==> Starting data profiling...
2026-01-10 17:58:09,755 | INFO | profile | ==> Normalized column names
2026-01-10 17:58:09,755 | INFO | profile | ==> Extracted profile configuration
2026-01-10 17:58:09,760 | INFO | profile | ==> Computed missing vlaues: True
2026-01-10 17:58:09,764 | INFO | profile | ==> Computed missing percentage: True
2026-01-10 17:58:09,766 | INFO | profile | ==> Computed unique values
2026-01-10 17:58:09,767 | INFO | profile | ==> Computed data types
2026-01-10 17:58:09,771 | INFO | profile | ==> Summarized numerical columns
2026-01-10 17:58:09,779 | INFO | profile | ==> Summarized categorical data
2026-01-10 17:58:09,780 | INFO | profile | ==> Summarized metrics
2026-01-10 17:58:09,782 | INFO | profile | ==> Computed outliers
2026-01-10 17:58:09,791 | INFO | profile | ==> Computed quality score
2026-01-10 17:58:09,791 | INFO | profile | ==> Profiling completed successfully.
2026-01-10 17:58:09,808 | INFO | normalize | ==> Ensured stable row identifier.
2026-01-10 17:58:09,808 | INFO | normalize | ==> Renaming columns.
2026-01-10 17:58:09,809 | INFO | normalize | ==> Dropping duplicate rows.
2026-01-10 17:58:09,817 | INFO | normalize | ==> Dropped 150 duplicate rows.
2026-01-10 17:58:09,818 | INFO | normalize | ==> Dropping empty rows.
2026-01-10 17:58:09,820 | INFO | normalize | ==> Applying text cleaning.
2026-01-10 17:58:09,827 | INFO | normalize | ==> Applied text cleaning in store.
2026-01-10 17:58:09,832 | INFO | normalize | ==> Applied text cleaning in region.
2026-01-10 17:58:09,840 | INFO | normalize | ==> Applied text cleaning in product_name.
2026-01-10 17:58:09,845 | INFO | normalize | ==> Applied text cleaning in category.
2026-01-10 17:58:09,851 | INFO | normalize | ==> Applied text cleaning in notes.
2026-01-10 17:58:09,852 | INFO | normalize | ==> Applying text standardization.
2026-01-10 17:58:09,856 | INFO | normalize | ==> Applying reference-based normalization for region and category.
2026-01-10 17:58:10,066 | INFO | normalize | ==> Applied reference-based normalization.
2026-01-10 17:58:10,068 | INFO | normalize | ==> Applying numeric cleaning.
2026-01-10 17:58:10,077 | INFO | normalize | ==> Applied numeric cleaning.
2026-01-10 17:58:10,412 | INFO | normalize | ==> Applied numeric cleaning.
2026-01-10 17:58:10,420 | INFO | normalize | ==> Applied numeric cleaning.
2026-01-10 17:58:10,421 | INFO | normalize | ==> Dropping rows with missing required columns: sale_date, category, product_name, region, quantity, unit_price
2026-01-10 17:58:10,445 | INFO | normalize | ==> Dropped 2402 rows due to missing required fields.
2026-01-10 17:58:10,446 | INFO | normalize | ==> Applying date parsing.
2026-01-10 17:58:10,450 | INFO | normalize | ==> Column 'sale_date' NaNs before: 0, after: 5626.
2026-01-10 17:58:10,451 | INFO | normalize | ==> Applying feature engineering.
2026-01-10 17:58:10,453 | INFO | normalize | ==> Derived date parts: sale_year, sale_month, sale_quarter, weekday
2026-01-10 17:58:10,453 | INFO | normalize | ==> Applying filtering rules.
2026-01-10 17:58:10,456 | INFO | normalize | ==> Applied filters. Dropped 46 rows; remaining 7552 rows.
2026-01-10 17:58:10,456 | INFO | normalize | ==> Enforcing schema.
2026-01-10 17:58:10,458 | INFO | normalize | ==> Enforced schema for column 'sale_date' as 'datetime64[ns]'.
2026-01-10 17:58:10,458 | INFO | normalize | ==> Enforced schema for column 'quantity' as 'float'.
2026-01-10 17:58:10,459 | INFO | normalize | ==> Enforced schema for column 'unit_price' as 'float'.
2026-01-10 17:58:10,459 | INFO | normalize | ==> Enforced schema for column 'total_sales' as 'float'.
2026-01-10 17:58:10,459 | INFO | normalize | ==> Running validation rules (log-only).
2026-01-10 17:58:10,460 | WARNING | normalize | ==> Validation: 5594 rows have null 'sale_date'.
2026-01-10 17:58:10,481 | INFO | normalize | ==> Lineage flushed to disk.
2026-01-10 17:58:10,481 | INFO | normalize | ==> Normalization complete.
2026-01-10 17:58:10,503 | INFO | profile | ==> Starting data profiling...
2026-01-10 17:58:10,504 | INFO | profile | ==> Normalized column names
2026-01-10 17:58:10,504 | INFO | profile | ==> Extracted profile configuration
2026-01-10 17:58:10,506 | INFO | profile | ==> Computed missing vlaues: True
2026-01-10 17:58:10,507 | INFO | profile | ==> Computed missing percentage: True
2026-01-10 17:58:10,508 | INFO | profile | ==> Computed unique values
2026-01-10 17:58:10,508 | INFO | profile | ==> Computed data types
2026-01-10 17:58:10,511 | INFO | profile | ==> Summarized numerical columns
2026-01-10 17:58:10,512 | INFO | profile | ==> Summarized categorical data
2026-01-10 17:58:10,513 | INFO | profile | ==> Summarized metrics
2026-01-10 17:58:10,514 | INFO | profile | ==> Computed outliers
2026-01-10 17:58:10,518 | INFO | profile | ==> Computed quality score
2026-01-10 17:58:10,518 | INFO | profile | ==> Profiling completed successfully.
2026-01-10 17:58:10,520 | INFO | curate | ==> Preparing curated dataset
2026-01-10 17:58:10,523 | INFO | curate | ==> Curated rows=1992
